rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_SIV,gps_FixType,gps_GroundSpeed,gps_Heading,gps_pDOP,pressure_Pa,humidity_%,altitude_m,temp_degC,output_Hz,
01/01/2000,01:00:01.00,-1009.77,1.46,19.04,2.22,0.43,4.24,260.55,-486.0,-683.10,24.34,09/30/2022,13:24:34.000,624546060,173907257,29251,16,3,22,27526250,158,100927.16,41.83,33.63,17.18,9.770,
01/01/2000,01:00:01.10,-995.12,-19.04,18.55,0.41,-1.11,2.01,261.15,-485.85,-681.75,24.34,09/30/2022,13:24:34.200,624546060,173907257,29265,16,3,36,27526250,158,100921.91,42.14,33.61,17.19,9.770,
01/01/2000,01:00:01.21,-1005.37,-23.93,16.11,-0.06,-1.88,2.01,259.65,-486.30,-679.95,24.15,09/30/2022,13:24:34.300,624546061,173907256,29263,16,3,30,27526250,158,100918.07,41.66,33.24,17.19,9.770,
01/01/2000,01:00:01.31,-991.70,-11.23,16.60,-0.28,-1.50,4.32,261.75,-485.70,-681.15,24.10,09/30/2022,13:24:34.400,624546061,173907256,29279,16,3,9,27526250,158,100931.0,41.82,32.85,17.19,9.770,
01/01/2000,01:00:01.41,-1012.21,-9.28,12.70,2.25,-2.42,-1.11,260.40,-487.05,-683.25,24.10,09/30/2022,13:24:34.500,624546062,173907256,29271,16,3,19,27526250,158,100922.75,41.75,33.54,17.19,9.770,
01/01/2000,01:00:01.51,-1016.60,-21.97,21.00,-1.60,-1.26,-0.74,260.55,-485.70,-682.65,24.00,09/30/2022,13:24:34.600,624546062,173907256,29279,16,3,29,27526250,158,100926.33,41.85,33.24,17.18,9.770,
01/01/2000,01:00:01.61,-1004.39,-15.14,22.46,-0.59,2.08,1.31,260.40,-486.60,-682.20,24.10,09/30/2022,13:24:34.700,624546063,173907256,29296,16,3,6,27526250,158,100916.41,41.93,33.61,17.19,9.771,
01/01/2000,01:00:01.71,-1007.32,-13.18,5.86,-1.20,-1.79,1.65,262.05,-485.70,-681.60,24.34,09/30/2022,13:24:34.800,624546063,173907256,29286,16,3,18,27526250,158,100925.50,41.92,33.31,17.19,9.771,
01/01/2000,01:00:01.81,-1009.28,-7.32,10.25,-0.15,-1.21,-3.0,260.40,-485.85,-682.20,24.39,09/30/2022,13:24:34.900,624546063,173907256,29295,16,3,33,27526250,158,100917.23,41.98,34.00,17.18,9.770,
01/01/2000,01:00:01.91,-1007.32,-10.74,12.21,0.76,0.19,-0.01,260.10,-485.85,-683.25,24.15,09/30/2022,13:24:35.000,624546064,173907256,29296,16,3,22,27526250,158,100923.84,42.08,33.45,17.18,9.770,
01/01/2000,01:00:02.01,-1004.39,-9.77,17.58,1.51,0.61,-0.45,260.40,-485.55,-683.25,24.29,09/30/2022,13:24:35.100,624546064,173907255,29295,16,3,16,27526250,158,100916.41,41.83,34.07,17.18,9.771,
01/01/2000,01:00:02.11,-1008.30,-4.88,-1.46,2.50,-2.16,1.11,259.35,-485.55,-682.20,24.15,09/30/2022,13:24:35.200,624546065,173907255,29318,16,3,4,27526250,158,100924.66,41.80,33.38,17.18,9.771,
01/01/2000,01:00:02.21,-1002.93,-21.48,17.09,0.47,-1.50,1.13,259.80,-484.95,-683.10,23.86,09/30/2022,13:24:35.300,624546065,173907255,29310,16,3,12,27526250,158,100927.42,41.78,33.15,17.18,9.771,
01/01/2000,01:00:02.31,-1008.79,0.49,19.53,-1.38,0.61,-1.69,260.55,-486.0,-681.15,24.29,09/30/2022,13:24:35.400,624546066,173907254,29323,16,3,11,27526250,158,100919.16,42.11,33.84,17.18,9.771,
