time,aX,aY,aZ
1,-1009.77,1.46,19.04
1.1,-995.12,-19.04,18.55
1.2,-1005.37,-23.93,16.11
1.3,-991.7,-11.23,16.6
1.4,-1012.21,-9.28,12.7
1.5,-1016.6,-21.97,21
1.6,-1004.39,-15.14,22.46
1.7,-1007.32,-13.18,5.86
1.8,-1009.28,-7.32,10.25
1.9,-1007.32,-10.74,12.21
2,-1004.39,-9.77,17.58
2.1,-1008.3,-4.88,-1.46
2.2,-1002.93,-21.48,17.09
2.3,-1008.79,0.49,19.53
2.4,-1000.98,-12.7,3.91
2.5,-1003.42,-11.72,-0.98
2.6,-1014.65,-0.98,11.72
2.7,-1006.84,-6.84,8.79
2.8,-1000.98,-16.11,24.41
2.9,-1004.88,-11.72,12.21
3,-1015.14,-18.07,13.67
3.1,-1019.53,-14.16,13.18
3.2,-1004.88,-3.42,9.28
3.3,-1001.46,0.49,15.14
3.4,-985.84,-26.37,13.67
3.5,-997.56,-18.07,3.42
3.6,-1011.72,0,9.77
3.7,-1012.7,-8.79,3.91
3.8,-1005.37,-3.91,8.3
3.9,-997.07,-5.86,11.72
4,-1012.7,-18.55,18.55
4.1,-1004.39,-9.28,10.74
4.2,-1018.07,-14.65,3.91
4.3,-1010.74,0.49,12.21
4.4,-1009.77,-5.86,20.51
4.5,-1010.25,-10.74,12.21
4.6,-1008.3,-8.3,4.39
4.7,-1000.49,-11.72,12.7
4.8,-1002.44,-4.88,8.79
4.9,-1003.42,0.98,11.23
5,-1005.86,-5.37,8.79
5.1,-1000,-2.93,16.11
5.2,-1003.91,-10.74,14.16
5.3,-1004.88,0.98,15.14
5.4,-1006.35,-9.77,10.74
5.5,-1004.88,-7.81,4.39
5.6,-995.61,-6.84,2.93
5.7,-1006.84,1.46,4.88
5.8,-992.68,-11.72,13.67
5.9,-1008.79,-3.42,25.88
6,-1000.98,-15.63,7.81
6.1,-1002.93,-12.7,7.32
6.2,-1005.37,-17.58,4.88
6.3,-1008.3,-19.04,11.72
6.4,-1001.95,-5.86,5.86
6.5,-1008.3,-7.32,11.72
6.6,-1007.81,-7.81,2.44
6.7,-1012.21,-6.35,19.53
6.8,-998.54,-2.93,23.93
6.9,-1011.23,-8.79,9.28
7,-987.3,-18.55,12.7
7.1,-1011.72,-11.23,9.28
7.2,-994.14,-10.74,6.35
7.3,-1004.88,-8.79,9.28
7.5,-1001.95,-6.84,14.16
7.6,-1006.84,-13.18,10.74
7.7,-1002.93,-22.46,11.72
7.8,-1006.84,2.44,14.16
7.9,-1003.42,-4.39,11.72
8,-1008.79,-15.14,7.81
8.1,-996.58,-3.91,7.32
8.2,-1002.93,-15.14,15.63
8.3,-1000.49,-9.77,11.23
8.4,-1005.37,-20.02,13.67
8.5,-1008.79,-9.28,-2.93
8.6,-1006.35,-13.18,21.97
8.7,-998.05,-21.48,11.23
8.8,-1006.84,-13.18,13.67
8.9,-1015.14,-2.44,3.91
9,-1004.39,-20.51,3.91
9.1,-1009.28,-1.46,11.72
9.2,-997.56,-8.3,3.42
9.3,-1009.28,-12.7,3.91
9.4,-1000,-14.65,17.09
9.5,-1004.88,-4.88,16.6
9.6,-1005.37,-4.39,11.23
9.7,-995.12,-7.32,14.65
9.8,-1007.32,-5.86,20.02
9.9,-1009.77,-20.02,12.21
10,-1001.95,-7.32,17.58
10.1,-990.23,-14.65,20.02
10.2,-1002.93,-7.81,11.72
10.3,-1007.81,-16.6,3.42
10.4,-1007.32,-20.02,9.28
10.5,-1009.77,-10.74,8.79
10.6,-1011.72,-19.04,8.3
10.7,-1001.95,-0.49,4.39
10.8,-1007.32,-20.51,13.18
10.9,-1006.84,-18.07,5.37
11,-1000,-15.14,15.63
11.1,-999.51,-14.16,9.28
11.2,-1012.21,-20.51,6.84
11.3,-1002.93,-18.55,6.84
11.4,-1003.42,-6.84,18.07
11.5,-1004.88,-11.23,12.7
11.6,-1003.91,-5.86,12.21
11.7,-1006.35,-20.02,15.14
11.8,-997.56,-10.74,13.67
11.9,-1008.3,-12.7,10.25
12,-995.61,-14.16,19.04
12.1,-1008.79,-7.81,11.23
12.2,-1004.88,-6.84,20.51
12.3,-1012.21,-14.16,13.67
12.4,-1006.84,-13.67,14.16
12.5,-988.28,-10.25,4.88
12.6,-999.02,10.74,5.86
12.7,-1004.39,0.98,12.7
12.8,-1013.18,-11.23,15.63
12.9,-1004.88,-8.3,6.35
13,-1006.84,-8.79,17.09
13.1,-1000.49,-6.84,14.16
13.2,-995.12,-10.74,17.58
13.3,-995.12,-15.14,4.39
13.4,-1013.67,-1.46,12.21
13.5,-1004.39,-7.32,16.6
13.6,-1004.88,-13.18,10.25
13.7,-1009.28,-13.67,14.16
13.8,-1007.32,-3.42,9.77
13.9,-1001.95,6.35,10.25
14,-1005.86,-9.28,16.11
14.1,-1011.23,-5.37,1.95
14.2,-1003.42,-3.91,13.18
14.3,-998.05,-17.58,19.04
14.4,-1013.18,-7.32,10.25
14.5,-989.26,0.98,6.35
14.6,-1016.6,-21.97,2.93
14.7,-1008.79,-16.11,16.11
14.8,-1010.25,-0.49,16.11
14.9,-1003.42,-0.49,16.11
15,-1009.28,-8.79,3.42
15.1,-1002.93,-9.28,16.11
15.2,-997.56,-17.58,8.3
15.3,-1015.14,-13.18,16.6
15.4,-1004.39,-15.14,7.81
15.5,-1000.98,-17.09,10.74
15.6,-1002.44,-5.86,16.6
15.7,-1011.72,-12.21,10.74
15.8,-999.02,-0.98,18.55
15.9,-1008.3,-8.3,18.07
16,-1014.16,-9.77,21.97
16.1,-1009.28,-11.23,14.65
16.2,-1003.42,-19.53,7.81
16.3,-1012.21,-13.67,4.88
16.4,-990.72,-24.41,8.79
16.5,-1005.86,-12.7,20.02
16.6,-1007.81,-8.79,17.09
16.7,-1001.46,-14.16,16.11
16.8,-1021.48,-5.86,8.79
16.9,-993.16,-10.74,10.74
17,-1009.77,-19.04,7.81
17.1,-999.51,-5.37,2.44
17.2,-999.02,-17.58,12.21
17.3,-1009.77,-19.53,16.11
17.4,-1021.48,-11.72,16.11
17.5,-1014.16,-4.88,8.3
17.6,-1011.23,-12.21,9.77
17.7,-1010.25,-7.81,1.46
17.8,-996.58,-16.11,11.72
17.9,-1002.44,-21.48,9.28
18,-1024.41,-13.67,9.77
18.1,-1002.44,-2.44,11.23
18.2,-1002.93,0,8.3
18.3,-1007.32,-9.28,6.84
18.4,-998.05,-13.18,27.34
18.5,-1019.53,-9.28,25.39
18.6,-1004.88,-12.21,2.93
18.7,-1010.25,-6.84,11.72
18.8,-1003.91,-14.16,7.81
18.9,-1009.77,-6.35,4.39
19,-991.21,-11.23,10.25
19.1,-1002.93,-14.16,8.3
19.2,-998.54,-11.72,17.09
19.3,-1010.25,-14.16,7.32
19.4,-997.56,-9.77,6.35
19.5,-1018.07,-1.95,14.16
19.6,-1001.46,-5.37,2.93
19.7,-1009.77,-1.46,17.58
19.8,-1005.86,-8.3,17.09
19.9,-1008.3,-17.58,8.3
20.1,-997.07,-8.3,14.65
20.2,-1000.98,-5.37,11.23
20.3,-1006.35,-11.23,9.28
20.4,-998.05,-15.14,0.98
20.5,-1000.98,-23.44,4.39
20.6,-999.02,-12.7,19.04
20.7,-1007.32,-15.63,2.44
20.8,-999.51,-15.14,4.39
20.9,-1000.49,0.49,25.88
21,-1010.25,-20.51,12.21
21.1,-1010.25,-1.46,5.37
21.2,-1006.35,-7.81,6.84
21.3,-1000.98,-9.28,10.25
21.4,-1012.7,-8.3,7.32
21.5,-1004.88,-17.58,9.28
21.6,-996.09,-8.79,19.53
21.7,-1000.49,-8.3,18.07
21.8,-1004.39,2.44,14.16
21.9,-993.16,-9.28,19.04
22,-998.05,-27.83,3.42
22.1,-998.54,-3.91,14.16
22.2,-1006.84,-11.72,9.77
22.3,-997.56,-24.9,11.72
22.5,-1000.49,-4.39,10.74
22.6,-999.51,0,9.77
22.7,-1010.74,-16.6,10.25
22.9,-1004.39,-22.46,-0.98
23,-1002.44,-9.77,20.02
23.1,-1009.77,-9.28,11.72
23.2,-1011.72,-8.79,21
23.3,-999.02,-15.14,21
23.4,-999.02,-4.88,3.42
23.5,-1006.84,-10.25,8.79
23.6,-1007.32,-20.02,9.77
23.7,-1008.3,-9.28,-3.91
23.8,-1002.93,-9.28,15.63
23.9,-1007.32,-2.93,1.95
24,-1003.42,-22.46,10.74
24.1,-996.58,-10.74,11.72
24.2,-1007.32,-12.21,8.79
24.3,-1001.46,-18.55,18.07
24.4,-1012.7,-9.77,17.09
24.5,-999.51,-11.72,16.11
24.6,-1005.86,-6.35,14.16
24.7,-1012.7,-20.02,13.67
24.8,-1000.98,-12.21,12.7
24.9,-1014.16,-12.21,7.81
25,-1005.86,-18.55,14.65
25.1,-1014.16,-13.18,-5.37
25.2,-986.82,-11.72,21.48
25.3,-997.07,-11.23,-2.93
25.4,-1009.28,-9.77,7.32
25.6,-1004.39,8.3,20.02
25.7,-1000.98,-20.51,3.91
25.8,-1010.25,-9.28,12.7
25.9,-993.16,-18.55,9.77
26,-1021,-3.91,15.14
26.1,-1008.3,-6.84,3.42
26.2,-1010.74,-13.18,11.72
26.3,-1014.65,-11.23,13.67
26.4,-992.68,-9.28,21.97
26.5,-1003.42,0,16.11
26.6,-1007.32,-7.81,16.11
26.7,-998.05,-2.93,13.18
26.8,-1004.39,-7.81,5.86
26.9,-1004.39,-12.21,23.93
27,-997.07,0.98,9.77
27.1,-998.54,-2.93,14.16
27.2,-1007.32,-7.81,22.46
27.3,-1005.86,-9.77,10.74
27.4,-1004.39,-5.86,-0.98
27.5,-1003.42,-4.88,22.46
27.6,-1015.63,-12.7,11.23
27.7,-1014.16,-7.81,19.53
27.8,-1007.32,-12.7,-3.91
27.9,-991.21,-0.98,2.44
28,-1009.77,-13.18,8.79
28.1,-1000.98,-0.49,9.77
28.2,-1004.39,-12.7,-1.46
28.3,-1010.25,-13.18,14.65
28.4,-1014.16,-10.74,-1.46
28.5,-995.61,-8.3,15.14
28.6,-1005.37,-10.25,3.42
28.7,-994.63,-9.28,4.88
28.8,-1000,-13.67,14.65
28.9,-1000,-12.21,12.21
29,-1002.44,-1.46,6.84
29.1,-1008.79,-8.3,11.72
29.2,-999.51,-10.74,17.58
29.3,-999.02,0,18.55
29.4,-1010.25,-5.37,15.14
29.6,-1006.84,-0.49,22.46
29.7,-1010.25,0.98,18.07
29.8,-1012.21,-10.74,17.09
29.9,-1010.74,-4.39,17.09
30,-1002.44,-8.79,5.37
30.1,-993.65,-4.88,16.11
30.2,-1008.3,-12.21,19.53
30.3,-994.14,-14.16,5.86
30.4,-1012.21,-11.23,11.72
30.5,-998.54,-19.53,5.37
30.6,-1011.23,-0.49,5.37
30.8,-1008.79,-15.63,9.77
30.9,-1004.39,-10.25,17.58
31,-1000.49,-6.35,11.23
31.1,-1006.84,-2.44,14.65
31.2,-992.68,-14.16,6.84
31.3,-1008.79,-10.25,13.18
31.4,-1001.46,-15.63,8.79
31.5,-1014.65,-14.16,18.55
31.6,-1009.77,0.49,4.39
31.7,-1004.39,-17.09,11.23
